"Name","Sex","Event","Equipment","Age","AgeClass","BirthYearClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Dots","Wilks","Glossbrenner","Goodlift","Tested","Country","State","Federation","ParentFederation","Date","MeetCountry","MeetState","MeetTown","MeetName","Sanctioned"
"Nicholas Arce","M","SBD","Raw",22.5,"20-23","19-23","MR-C",82.9,"83",230,240,250,NA,250,142.5,150,-155,NA,150,250,265,272.5,NA,272.5,672.5,"3",454.3,449.21,432.14,93.15,"Yes","USA","GA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Maria Toledo","F","SBD","Single-ply",23,"20-23","24-39","F-C",70.3,"72",170,-180,180,NA,180,-100,-100,100,NA,100,150,160,-165,NA,160,440,"11",443.89,436.45,384.68,74.93,"Yes","USA","TX","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Samuel Crawford","M","SBD","Raw",22,"20-23","19-23","MR-C",80.5,"83",137.5,147.5,157.5,NA,157.5,92.5,100,-110,NA,100,-182.5,192.5,205,NA,205,462.5,"69",317.75,314.52,302.96,65.02,"Yes","USA","VA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Cody Gan","M","SBD","Raw",21.5,"20-23","19-23","MR-C",65.5,"66",117.5,127.5,-137.5,NA,127.5,105,112.5,-117.5,NA,112.5,157.5,172.5,180,NA,180,420,"28",330.95,331.86,322.59,65.74,"Yes","USA","FL","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Cayti Neff","F","SBD","Raw",20.5,"20-23","19-23","FR-C",62.5,"63",112.5,120,-127.5,NA,120,65,70,72.5,NA,72.5,-142.5,147.5,157.5,NA,157.5,350,"10",378.27,378.16,333.96,76.97,"Yes","USA","PA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Jason Sickels","M","SBD","Raw",19.5,"20-23","19-23","MR-C",100.7,"105",230,235,240,NA,240,150,160,-167.5,NA,160,225,-237.5,-242.5,NA,225,625,"19",383.54,379.32,362.26,78.7,"Yes","USA","FL","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Corey Lieb","M","SBD","Raw",21.5,"20-23","19-23","MR-C",58.2,"59",95,102.5,115,NA,115,92.5,95,-97.5,NA,95,135,-140,NA,NA,135,345,"13",298.69,302.67,296.07,57.51,"Yes","USA","FL","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Megan Melendez","F","SBD","Raw",20.5,"20-23","19-23","FR-C",61.8,"63",125,132.5,137.5,NA,137.5,65,67.5,70,NA,70,152.5,165,175,NA,175,382.5,"2",416.27,416.85,368.17,84.74,"Yes","USA","FL","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Issac Quevedo","M","SBD","Raw",18.5,"18-19","19-23","MR-C",73.2,"74",182.5,195,-210,NA,195,-115,115,-122.5,NA,115,-195,207.5,225,NA,225,535,"16",389.91,387.83,375.13,78.99,"Yes","USA","FL","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Amanda Montesano","F","SBD","Single-ply",22.5,"20-23","19-23","F-C",79.6,"84",-140,140,150,NA,150,55,65,-80,NA,65,-90,90,95,NA,95,310,"22",292.83,284.45,249.53,49.84,"Yes","USA","LA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Megan Kupser","F","SBD","Single-ply",21.5,"20-23","19-23","F-C",64.5,"72",125,137.5,145,NA,145,62.5,65,-70,NA,65,107.5,115,-122.5,NA,115,325,"26",344.61,342.92,302.71,57.91,"Yes","USA","FL","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Aislinn Curry","F","SBD","Single-ply",19.5,"20-23","19-23","F-C",55.6,"57",125,132.5,-140,NA,132.5,72.5,-77.5,77.5,NA,77.5,115,125,132.5,NA,132.5,342.5,"5",398.89,405.26,358.52,66.7,"Yes","USA","RI","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Cyrus Tyler","M","SBD","Raw",19.5,"20-23","19-23","MR-C",72.7,"74",165,-172.5,-172.5,NA,165,100,-105,NA,NA,100,182.5,195,-200,NA,195,460,"42",336.77,335.12,324.24,68.16,"Yes","USA","CT","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Jeremy Galloway","M","SBD","Raw",20.5,"20-23","19-23","MR-G",84,"93",147.5,152.5,162.5,NA,162.5,130,135,-137.5,NA,135,192.5,202.5,215,NA,215,512.5,"G",343.68,339.7,326.59,70.52,"Yes","USA","CT","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Daniel Baez","M","SBD","Single-ply",18.5,"18-19","19-23","M-C",58.5,"59",-165,-165,-165,NA,NA,107.5,112.5,117.5,NA,117.5,157.5,172.5,-182.5,NA,172.5,NA,"DQ",NA,NA,NA,NA,"Yes","USA","NJ","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Nicholas Fresneda","M","SBD","Single-ply",19.5,"20-23","19-23","M-C",81.6,"83",232.5,-242.5,-242.5,NA,232.5,155,165,-172.5,NA,165,180,205,215,NA,215,612.5,"18",417.51,413.05,397.63,71.44,"Yes","USA","LA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Daniel Fisher #2","M","SBD","Single-ply",20.5,"20-23","19-23","M-C",84.3,"93",240,-255,-255,NA,240,145,152.5,160,NA,160,200,215,227.5,NA,227.5,627.5,"18",419.97,415.07,398.98,71.81,"Yes","USA","NJ","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Alex Bruskin","M","SBD","Single-ply",20,"20-23","19-23","M-C",93.1,"105",-255,255,-270,NA,255,-140,-140,140,NA,140,220,230,-250,NA,230,625,"14",397.45,392.42,375.57,67.74,"Yes","USA","MA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Quinton Gabara","M","SBD","Single-ply",19.5,"20-23","19-23","M-C",63,"66",-225,-225,-225,NA,NA,135,-145,-145,NA,135,202.5,207.5,-215,NA,207.5,NA,"DQ",NA,NA,NA,NA,"Yes","USA","MA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Sharmin Mahmud","F","SBD","Single-ply",20.5,"20-23","19-23","F-C",62.3,"63",-150,150,-155,NA,150,75,82.5,85,NA,85,125,132.5,-140,NA,132.5,367.5,"14",397.96,398.04,351.53,66.77,"Yes","USA","MA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Tina Zheng","F","SBD","Single-ply",19.5,"20-23","19-23","F-C",69.5,"72",160,172.5,182.5,NA,182.5,80,85,90,NA,90,132.5,147.5,160,NA,160,432.5,"13",439.13,432.41,381.23,74.07,"Yes","USA","MA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Yaqing Guo","F","SBD","Single-ply",18.5,"18-19","19-23","F-C",65.6,"72",135,150,160,NA,160,82.5,95,100,NA,100,97.5,110,125,NA,125,385,"17",404.15,401.17,354.05,67.96,"Yes","USA","MA","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Jake Limbardo","M","SBD","Raw",20.5,"20-23","19-23","MR-C",89.9,"93",200,-212.5,-217.5,NA,200,-142.5,142.5,-150,NA,142.5,215,225,-240,NA,225,567.5,"36",367.15,362.49,347.43,75.49,"Yes","USA","CT","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Thomas Gottschalk","M","S","Single-ply",22.5,"20-23","19-23","M-C",82.2,"83",270,282.5,-290,NA,282.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.5,"27",191.76,189.66,182.52,NA,"Yes","USA","CT","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Briannah Plasse","F","SBD","Raw",19.5,"20-23","19-23","FR-C",54.9,"57",95,105,110,NA,110,52.5,57.5,60,NA,60,-125,130,140,NA,140,310,"4",364.11,370.46,327.84,74.85,"Yes","USA","RI","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Mark Gall","M","SBD","Raw",20,"20-23","19-23","MR-C",71.3,"74",135,145,147.5,NA,147.5,95,102.5,107.5,NA,107.5,190,-207.5,-212.5,NA,190,445,"49",330.07,328.87,318.46,66.61,"Yes","USA","RI","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Samuel Kopech","M","SBD","Single-ply",20.5,"20-23","19-23","M-C",72.6,"74",235,247.5,-255,NA,247.5,142.5,147.5,152.5,NA,152.5,230,240,247.5,NA,247.5,647.5,"3",474.48,472.2,456.89,81.25,"Yes","USA","RI","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
"Gabby Seymour","F","SBD","Raw",19.5,"20-23","19-23","FR-C",69.2,"72",90,95,97.5,NA,97.5,47.5,50,52.5,NA,52.5,110,117.5,125,NA,125,275,"24",279.9,275.77,243.15,56.88,"Yes","USA","NJ","USAPL","IPF","2017-04-07","USA","TX",NA,"Collegiate National Championship","Yes"
